parcel_id,crop_code,crop_name,province,agri_zone,area_tier,area_mu,area_ha,area_m2,perimeter_m,compactness,machinery_suitability,dominant_purity,mean_confidence,center_lon,center_lat,center_utm_x,center_utm_y
P0071,1,夏玉米,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),730.36,48.6904,486904.5,9672.7,0.065,中/碎 (建议并块平整),0.922,0.569,-100.4458355,22.8227776,351624.76,2524627.77
P0072,1,夏玉米,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),730.36,48.6904,486904.5,10612.5,0.054,中/碎 (建议并块平整),0.952,0.506,-101.7438562,22.2650747,217228.63,2464734.26
P0073,1,夏玉米,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),730.36,48.6904,486904.5,8899.4,0.077,中/碎 (建议并块平整),0.895,0.63,-101.3468287,21.5389189,256933.13,2383621.46
P0074,1,夏玉米,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),730.36,48.6904,486904.5,10107.7,0.06,中/碎 (建议并块平整),0.922,0.577,-101.7926455,21.1412446,209952.04,2340330.51
P0075,1,夏玉米,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),729.01,48.6004,486004.4,12515.8,0.039,中/碎 (建议并块平整),0.943,0.658,-101.1937827,21.8342229,273253.3,2416092.97
P0076,1,夏玉米,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),729.01,48.6004,486004.4,12116.4,0.042,中/碎 (建议并块平整),0.957,0.618,-101.8497783,22.2201958,206212.67,2459964.4
P0077,2,冬小麦,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),729.01,48.6004,486004.4,7766.5,0.101,中/碎 (建议并块平整),0.522,0.597,-99.0502335,22.0968023,494818.38,2443542.53
P0078,2,冬小麦,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),729.01,48.6004,486004.4,6540.7,0.143,中/碎 (建议并块平整),0.956,0.469,-101.5737997,22.1274762,234503.92,2449184.09
P0079,2,冬小麦,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),729.01,48.6004,486004.4,7412.0,0.111,中/碎 (建议并块平整),0.98,0.465,-101.0266934,22.5555737,291596.75,2495737.5
P0080,1,夏玉米,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),727.66,48.5104,485104.4,7419.9,0.111,中/碎 (建议并块平整),0.904,0.646,-101.9206581,21.514729,197415.87,2381945.88
P0081,1,夏玉米,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),727.66,48.5104,485104.4,13910.0,0.032,中/碎 (建议并块平整),0.959,0.625,-101.4180049,21.7233313,249875.99,2404158.4
P0082,2,冬小麦,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),727.66,48.5104,485104.4,10018.1,0.061,中/碎 (建议并块平整),0.959,0.468,-101.6569927,22.1108322,225885.7,2447488.11
P0083,1,夏玉米,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),726.31,48.4204,484204.4,13525.0,0.033,中/碎 (建议并块平整),0.794,0.638,-100.8858528,23.0532844,306786.51,2550663.81
P0084,2,冬小麦,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),726.31,48.4204,484204.4,11794.6,0.044,中/碎 (建议并块平整),0.996,0.469,-101.8093919,21.8536697,209630.95,2419281.76
P0085,2,冬小麦,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),726.31,48.4204,484204.4,11958.7,0.043,中/碎 (建议并块平整),0.993,0.466,-101.8315255,22.1612384,207973.47,2453397.43
